"Name","NumOfPublications"
Asian Test Symposium,1226
AsianCHI@CHI,92
AsianHOST,177
Aspects For Legacy Applications,10
"Assisted Living Systems - Models, Architectures and Engineering Approaches",27
AuCC,372
Audio Mostly Conference,509
AusCTW,121
AusDM,343
AusGrid,21
Australasian Conference on Artificial Intelligence,714
Australasian Database Conference,134
"Australian Computer, Network & Information Forensics Conference",50
Australian Conference on Artificial Intelligence,691
Australian Database Conference,30
Australian Joint Conference on Artificial Intelligence,302
Australian Software Engineering Conference,402
AutoID,95
AutoImplant@MICCAI,24
AutoML,46
AutoSec@CODASPY,20
Automata,156
Automata Networks,10
Automata on Infinite Words,19
"Automata, Languages, Development",40
"Automata, Logics, and Infinite Games",21
Automated Deduction in Geometry,125
Automatic Performance Analysis,6
Automatic Verification Methods for Finite State Systems,32
AutomationXP@CHI,62
Automotive - Safety & Security,40
AutomotiveUI,479
AutomotiveUI (Adjunct Proceedings),133
AutomotiveUI (adjunct),404
Autonomics,84
Autonomous Vehicles and Machines,133
B,53
BADS@ICAC,30
BAI@IJCAI,13
BASYS,305
BCB,1721
BCC,42
BCCA,190
BCD,225
BCD (selected papers),14
BCI,844
BCI (Local),65
BCICTS,375
BCS HCI,967
BCS HCI (1),44
BCS HCI (2),158
BCS-IRSG Annual Colloquium on IR Research,45
BCSS@PERSUASIVE,75
BD,43
BDA,799
"BDA (Astronomy, Science, and Engineering)",60
BDAS,280
BDC,29
BDCA,170
BDCAT,231
BDCSIntell,37
BDCloud,180
BDE,77
BDET,69
BDIM,38
BDIOT,187
BDIoT,121
BDSIC,53
BDTA,47
BDTA/WiCON,15
BDVA,65
BEA@ACL,187
BEA@NAACL-HLT,198
BECB,115
BELIEF,121
BELIV,138
BENEVOL,76
BESC,394
BEWARE@AI*IA,24
BFAL,41
BHI,1272
BI,263
BIAS,62
BIBE,2422
BIBM,5948
BIBM Workshops,594
BIC,238
BIC-TA,841
BIC-TA (1),270
BIC-TA (2),287
BICA,635
BICA*AI,221
BICC,43
BICOD,47
BICS,305
BICT,273
BICoB,119
BIFE,482
BIGDSE@ICSE,23
BIH,82
BIOCOMP,667
BIODEVICES,741
BIOID,55
BIOIMAGING,201
BIOINFORMATICS,522
BIOKDD,83
BIOMA,73
BIONETICS,280
BIOSIG,510
BIOSIGNALS,878
BIOSTEC,76
BIOSTEC (Selected Papers),405
BIOTC,43
BIOWIRE,37
BIR,293
BIR Workshops,209
BIR@ECIR,118
BIRD,87
BIRNDL@SIGIR,47
BIRS-IMLKE,13
BIRTE,102
BIRTE (Revised Selected Papers),14
BIS,497
BIS (Workshops),488
BISEC,18
BLISS,87
BLOCKCHAIN,180
BM-FA,32
BM-FA (Revised Selected Papers),11
BMA,32
BMA@UAI,28
BMAS,85
BMC@CAV,24
BMC@FLoC,7
BMEI,1875
BMI,21
BMMDS/EMMSAD,264
BMSB,1549
BMSD,237
BMVC,4688
BNAIC,98
BNAIC/BENELEARN,142
BNAIC/BENELEARN (Selected Papers),25
BNCAI,36
BNCOD,526
BODYNETS,551
BPM,483
BPM (Blockchain and RPA Forum),67
BPM (Demos),163
BPM (Forum),118
BPM (Industry Track),26
BPM (PhD/Demos),126
BPM Industry Forum,6
BPMDS,17
BPMDS/EMMSAD@CAiSE,201
BPMN,43
BPOE,12
BPSC,47
BRACIS,625
BRACIS (1),113
BRACIS (2),164
BRAINS,154
BRAINS/WS-AFFIN@AmI,10
BROADNETS,742
BSB,278
BSCI,96
BSDCon,36
BSME,12
BSN,868
BSNLP@ACL,36
BTAS,441
BTW,874
BTW (Workshops),83
BTW Studierenden-Programm,50
BTW Studierendenprogramm,16
BTW Workshops,119
BUCC@ACL,51
BUCC@ACL/IJCNLP,26
BUCC@LREC,23
BUSITAL,10
BVAI,113
BWCCA,1147
Balancing Reactivity and Social Deliberation in Multi-Agent Systems,14
BalkanCryptSec,30
Baltic HLT,196
Banff Higher Order Workshop,6
Bangalore Compute Conf.,119
Begründungsverwaltung,6
Belief Functions,100
Bench,90
Berkeley Workshop,148
Berliner XML Tage,112
Best of PLDI,51
Beyond Program Slicing,12
BeyondMR@SIGMOD,30
BiDEDE@SIGMOD,37
BiDU@VLDB,12
Bidirectional Transformations,6
Big Data (CCF),117
Big-DAMA@SIGCOMM,19
Big-O(Q)/DMAH@VLDB,15
BigCom,357
BigComp,1035
BigData,65
BigData Congress,568
BigDataSE,47
BigDataSecurity/HPSC/IDS,356
BigDataService,399
BigMDE@STAF,31
BigMM,524
BigMine,68
BigMine@KDD,8
BigSDM,32
BigSpatial@SIGSPATIAL,90
BigSystem@HPDC,14
Bildverarbeitung für die Medizin,2377
BioADIT,71
BioCAS,1780
BioConcur@CONCUR,7
BioInfoMed,47
BioLINK@ISMB/ECCB,10
BioMS,19
BioMath in the Schools,19
BioNLP,127
BioNLP@ACL,341
BioNLP@ACL (Shared Task),57
BioNLP@HLT-NAACL,57
BioNLP@NAACL-HLT,67
BioPPN@Petri Nets,22
BioRob,963
BioVis,57
Bioconsensus,19
Biologically Motivated Computer Vision,131
Biomechanics of Anthropomorphic Systems,14
BlackSeaCom,620
BlackboxNLP@EMNLP,202
Bled eConference,1051
Block Island Workshop on Vision and Control,21
BlockSW/CKG@ISWC,12
BlockSys,208
BlockSys@SenSys,12
BlockTEA,20
Blockchain,355
BlogTalk,19
BodySys@MobiSys,27
BooksOnline,41
BotSE@ICSE,34
Brain Informatics,144
BrainComp,44
BrainLes@MICCAI,95
BrainLes@MICCAI (1),175
BrainLes@MICCAI (2),207
Brainles@MICCAI,26
Braverman Readings in Machine Learning,18
Broadband Communications,164
Broadband Islands,83
Broadband Satellite Comunication Systems,24
BuildSys@SenSys,748
Building University Electronic Educational Environments,19
Business Process Management,156
Business Process Management Workshops,921
Business Process Management Workshops (1),47
Business Process Management Workshops (2),46
Bytecode@ETAPS,43
C&ESAR,19
C&T,252
C++ Conference,106
C2SI,108
C3S2E,229
C5,224
CA,235
CA(i)SE,46
CAA,33
CAA SAFEPROCESS,353
CAAD Futures,206
CAAN,45
CAAP,207
CACIC,152
CACML,306
CACRE,452
CACSD,169
CAD,126
CAD Systems Development,25
CAD Tools and Algorithms for Product Design,19
CAD-Fachgespräch,34
CAD/Graphics,576
CADA@MICCAI,12
CADE,1143
CADUI,170
CAEPIA,441
CAI,155
CAIBDA,409
CAID@IJCAI,9
CAIN,110
CAINE,598
CAIP,990
CAIP (1),381
CAIP (2),369
CAL,100
CALCO,281
CALDAM,304
CAMAD,825
CAMLIS,23
CAMP,194
CAMSAP,782
CAN@CoNEXT,26
CANDAR,692
CANDAR (Workshops),174
CANDAR Workshops,193
CANDARW,143
CANOPIE-HPC@SC,19
CANPC,68
CANS,518
CAP,43
CARDIS,394
CARE@MICCAI,41
CARLA,218
CARS,949
CARTOCON,40
CARe-MAS@PRIMA,7
CASA,89
CASC,641
CASCON,1440
CASE,4074
CASEMANS@Ubicomp,18
CASES,604
CASFE,20
CASSIS,24
CAST,32
CASoN,339
CATA,1247
CATS,261
CAV,1269
CAV (1),311
CAV (2),279
CAV (DIMACS/AMS volume),39
CAVE,12
CAVS,59
CAWS,12
CAe,122
CAe@Expressive,63
CAiSE,1358
CAiSE (Doctoral Consortium),113
CAiSE Forum,372
CAiSE Forum (Selected Extended Papers),18
CAiSE Forum (Selected Papers),36
CAiSE Industry Track,14
